DATAFLOW,LAST UPDATE,freq,unit,tra_meas,tra_cov,schedule,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:AVIA_PAOC(1.0),05/12/22 23:00:00,M,PAS,PAS_BRD,TOTAL,TOT,BE,2020-06,109897,
ESTAT:AVIA_PAOC(1.0),05/12/22 23:00:00,M,PAS,PAS_BRD,TOTAL,TOT,BE,2020-07,795949,
ESTAT:AVIA_PAOC(1.0),05/12/22 23:00:00,M,PAS,PAS_BRD,TOTAL,TOT,BE,2020-08,938136,
ESTAT:AVIA_PAOC(1.0),05/12/22 23:00:00,M,PAS,PAS_BRD,TOTAL,TOT,BE,2020-09,582576,
ESTAT:AVIA_PAOC(1.0),05/12/22 23:00:00,M,PAS,PAS_BRD,TOTAL,TOT,BE,2020-10,475678,
ESTAT:AVIA_PAOC(1.0),05/12/22 23:00:00,M,PAS,PAS_BRD,TOTAL,TOT,BE,2020-11,327523,
ESTAT:AVIA_PAOC(1.0),05/12/22 23:00:00,M,PAS,PAS_BRD,TOTAL,TOT,BE,2020-12,466218,
ESTAT:AVIA_PAOC(1.0),05/12/22 23:00:00,M,PAS,PAS_BRD,TOTAL,TOT,BE,2021-01,368966,
ESTAT:AVIA_PAOC(1.0),05/12/22 23:00:00,M,PAS,PAS_BRD,TOTAL,TOT,BE,2021-02,192451,
ESTAT:AVIA_PAOC(1.0),05/12/22 23:00:00,M,PAS,PAS_BRD,TOTAL,TOT,BE,2021-03,210012,
ESTAT:AVIA_PAOC(1.0),05/12/22 23:00:00,M,PAS,PAS_BRD,TOTAL,TOT,BE,2021-04,303151,
ESTAT:AVIA_PAOC(1.0),05/12/22 23:00:00,M,PAS,PAS_BRD,TOTAL,TOT,BE,2021-05,512422,
ESTAT:AVIA_PAOC(1.0),05/12/22 23:00:00,M,PAS,PAS_BRD,TOTAL,TOT,BE,2021-06,930799,
ESTAT:AVIA_PAOC(1.0),05/12/22 23:00:00,M,PAS,PAS_BRD,TOTAL,TOT,BE,2021-07,1886049,
ESTAT:AVIA_PAOC(1.0),05/12/22 23:00:00,M,PAS,PAS_BRD,TOTAL,TOT,BE,2021-08,2132378,
ESTAT:AVIA_PAOC(1.0),05/12/22 23:00:00,M,PAS,PAS_BRD,TOTAL,TOT,BE,2021-09,1925341,
